id_order;reference;id_shop_group;id_shop;id_carrier;id_lang;id_customer;id_cart;id_currency;id_address_delivery;id_address_invoice;current_state;secure_key;payment;conversion_rate;module;recyclable;gift;gift_message;mobile_theme;shipping_number;total_discounts;total_discounts_tax_incl;total_discounts_tax_excl;total_paid;total_paid_tax_incl;total_paid_tax_excl;total_paid_real;total_products;total_products_wt;total_shipping;total_shipping_tax_incl;total_shipping_tax_excl;carrier_tax_rate;total_wrapping;total_wrapping_tax_incl;total_wrapping_tax_excl;round_mode;round_type;invoice_number;delivery_number;invoice_date;delivery_date;valid;date_add;date_upd
1;XKBKNABJK;1;1;2;1;1;1;1;4;4;6;*******************;"Payment by check";1.000000;ps_checkpayment;0;0;;0;;0.000000;0.000000;0.000000;61.800000;61.800000;61.800000;0.000000;59.800000;59.800000;2.000000;2.000000;2.000000;0.000;0.000000;0.000000;0.000000;0;0;0;0;"0000-00-00 00:00:00";"0000-00-00 00:00:00";0;"2018-12-17 11:07:35";"2018-12-17 11:07:35"
2;OHSATSERP;1;1;2;1;1;2;1;4;4;1;*******************;"Payment by check";1.000000;ps_checkpayment;0;0;;0;;0.000000;0.000000;0.000000;69.900000;69.900000;69.900000;0.000000;69.900000;69.900000;0.000000;0.000000;0.000000;0.000;0.000000;0.000000;0.000000;0;0;0;0;"0000-00-00 00:00:00";"0000-00-00 00:00:00";0;"2018-12-17 11:07:35";"2018-12-17 11:07:35"
3;UOYEVOLI;1;1;2;1;1;3;1;4;4;8;*******************;"Payment by check";1.000000;ps_checkpayment;0;0;;0;;0.000000;0.000000;0.000000;14.900000;14.900000;14.900000;0.000000;12.900000;12.900000;2.000000;2.000000;2.000000;0.000;0.000000;0.000000;0.000000;0;0;0;0;"0000-00-00 00:00:00";"0000-00-00 00:00:00";0;"2018-12-17 11:07:35";"2018-12-17 11:07:35"
4;FFATNOMMJ;1;1;2;1;1;4;1;4;4;1;*******************;"Payment by check";1.000000;ps_checkpayment;0;0;;0;;0.000000;0.000000;0.000000;14.900000;14.900000;14.900000;0.000000;12.900000;12.900000;2.000000;2.000000;2.000000;0.000;0.000000;0.000000;0.000000;0;0;0;0;"0000-00-00 00:00:00";"0000-00-00 00:00:00";0;"2018-12-17 11:07:35";"2018-12-17 11:07:35"
5;KHWLILZLL;1;1;2;1;1;5;1;4;4;10;*******************;"Bank wire";1.000000;ps_wirepayment;0;0;;0;;0.000000;0.000000;0.000000;20.900000;20.900000;20.900000;0.000000;18.900000;18.900000;2.000000;2.000000;2.000000;0.000;0.000000;0.000000;0.000000;0;0;0;0;"0000-00-00 00:00:00";"0000-00-00 00:00:00";0;"2018-12-17 11:07:35";"2018-12-17 11:07:35"
6;ZKQMHMTUM;1;1;4;1;71;6;1;72;72;6;*******************;"Webpay Plus";1.000000;webpay;0;0;;0;;0.000000;0.000000;0.000000;32108.000000;32108.000000;26982.000000;0.000000;23990.000000;28548.000000;3560.480000;3560.480000;2992.000000;19.000;0.000000;0.000000;0.000000;2;2;0;0;"0000-00-00 00:00:00";"0000-00-00 00:00:00";0;"2018-12-17 17:10:01";"2018-12-17 17:33:37"
7;ALBYGGVEQ;1;1;7;1;71;7;1;72;72;6;*******************;"Webpay Plus";1.000000;webpay;0;0;;0;;0.000000;0.000000;0.000000;3561.000000;3561.000000;2993.000000;0.000000;1.000000;1.000000;3560.480000;3560.480000;2992.000000;19.000;0.000000;0.000000;0.000000;2;2;0;0;"0000-00-00 00:00:00";"0000-00-00 00:00:00";0;"2018-12-17 17:17:27";"2018-12-17 17:33:04"
8;KUTWUDBJZ;1;1;8;1;71;8;1;72;72;6;*******************;"Webpay Plus";1.000000;webpay;0;0;;0;;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;0.000000;0.000000;0.000000;19.000;0.000000;0.000000;0.000000;2;2;1;1;"2018-12-17 17:21:14";"2018-12-17 17:21:14";0;"2018-12-17 17:21:13";"2018-12-17 17:32:44"
9;FJTBPNCHO;1;1;8;1;71;10;1;72;72;8;*******************;"Webpay Plus";1.000000;webpay;0;0;;0;;0.000000;0.000000;0.000000;16636.000000;16636.000000;13980.000000;0.000000;13980.000000;16636.000000;0.000000;0.000000;0.000000;19.000;0.000000;0.000000;0.000000;2;2;0;0;"0000-00-00 00:00:00";"0000-00-00 00:00:00";0;"2018-12-19 13:06:51";"2018-12-19 13:06:51"
10;VIMFBCVFG;1;1;8;1;71;12;1;72;72;6;*******************;"Webpay Plus";1.000000;webpay;0;0;;0;;0.000000;0.000000;0.000000;30928.000000;30928.000000;25990.000000;30928.000000;25990.000000;30928.000000;0.000000;0.000000;0.000000;19.000;0.000000;0.000000;0.000000;2;2;2;2;"2018-12-19 15:56:15";"2018-12-19 15:56:15";0;"2018-12-19 15:56:15";"2018-12-20 11:32:55"
11;WLSNBOVMP;1;1;8;1;71;13;1;72;72;6;*******************;"Webpay Plus";1.000000;webpay;0;0;;0;;0.000000;0.000000;0.000000;28548.000000;28548.000000;23990.000000;28548.000000;23990.000000;28548.000000;0.000000;0.000000;0.000000;19.000;0.000000;0.000000;0.000000;2;2;3;3;"2018-12-19 16:01:10";"2018-12-19 16:01:10";0;"2018-12-19 16:01:10";"2018-12-20 11:32:28"
12;NRKGDBUWR;1;1;8;1;71;14;1;72;72;6;*******************;"Webpay Plus";1.000000;webpay;0;0;;0;;0.000000;0.000000;0.000000;3558.000000;3558.000000;2990.000000;3558.000000;2990.000000;3558.000000;0.000000;0.000000;0.000000;19.000;0.000000;0.000000;0.000000;2;2;4;4;"2018-12-19 16:03:59";"2018-12-19 16:03:59";0;"2018-12-19 16:03:58";"2018-12-20 11:32:10"
